Category,Symptom
IT Support / Desktop Support / Internet / VPN not connecting,I'm not able to connect to VPN
IT Support / Desktop Support / User Profile / Account Lockout,Heather locked out
IT Support / Desktop Support / Software Issue,Unable to use slack
IT Support / Desktop Support / Software Issue,LinkedIn Sales Navigator Access
IT Support / Desktop Support / Software Issue,"Install LG Split screen software,"
IT Support / Desktop Support / Internet / VPN not connecting,Requesting for FortiToken OTP
IT Support / Desktop Support / Internet / VPN not connecting,Requesting for FortiToken OTP
IT Support / Desktop Support / Software Issue,Laptop Issue
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN Error
IT Support / Desktop Support / Software Issue,Please install k8s software in my local machine
IT Support / Desktop Support / User Profile / Account Lockout,Not able to login.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,"Windows Update Standalone Installer"""
IT Support / Desktop Support / Software Issue,"Recently changed my phone, lost FortiClient access."
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams Issue
IT Support / Desktop Support / Software Issue,Unable to download Citrix Workspace from SelfServicePortal
IT Support / Desktop Support / Software Issue,Feedback Reminder
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop power on issue
IT Support / Desktop Support / User Profile / Password Expired,Regarding - VPN connectivity Issue
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Receiving error when I attempt to log into VMWare Horizon Client for a client's virtual desktop. Error screenshot is attached.
IT Support / Desktop Support / User Profile / Account Lockout,Unable to login o system
IT Support / Desktop Support / Software Issue,Need to install VMWare
IT Support / Desktop Support / Software Issue,Need to update Zoom and stickey notes apps
IT Support / Desktop Support / Laptop / System Boot-up,Raise request on behalf of Arun G R
IT Support / Desktop Support / Software Issue,Unable to convert ppt to pdf
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,not able to connect the VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN Connection
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,"My laptop clock is not accurate, it is 2 min behind, due to which i am not able to access client services. It is showing time conflict"
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Software Issue,Not able to install certain software from the Self-Service Portal
IT Support / Desktop Support / Laptop / Power-On Issue,Shyam need urgent help with his laptop as it's not switching on
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,Laptop performance has deteriorated a lot. Not able to function properly on VDI and other tools
IT Support / Desktop Support / Software Issue,Need forti token
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / Laptop Battery Drain,My laptop battery is draining within 1 hour
IT Support / Desktop Support / Laptop / System Performance,Request for OS Re-installation
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Need Urgent Help on Unlocking the Tredence Account for Pratyaksha
IT Support / Desktop Support / User Profile / Account Lockout,Account Locked - Prasanth Kammari
IT Support / Desktop Support / User Profile / Password Expired,New Service Request raised for - IT Support\Server\Password Expiry/Reset\Password Expiry/Reset -
IT Support / Desktop Support / Internet / VPN not connecting,FortiClient VPN error.
IT Support / Desktop Support / Laptop / System Boot-up,Windows login issue
IT Support / Desktop Support / Software Issue,Add to path streamlit
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,unable to access VPN
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Software Issue,Install Power BI Desktop
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Need support in software installation for client Modern Desktop Cloud Access
IT Support / Desktop Support / Software Issue,Unable to Install Citrix Workstation APP on Self Service Portal
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Immediatly Required to Install Azure Storage Explorer for Client work. Trying to install it from Managed Self Service Portal. But it showing error.
IT Support / Desktop Support / User Profile / Account Lockout,Tredence account locked issue
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Laptop / System Boot-up,Unable to start PC.
IT Support / Desktop Support / Laptop / Power-On Issue,OS Crash or System not turning on
IT Support / Desktop Support / Software Issue,Unable to sign in miscrosoft excel.
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not able to connect with office wifi
IT Support / Desktop Support / User Profile / Account Lockout,Account lockout issue
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect with vpn
IT Support / Desktop Support / Laptop / Speaker and Audio,Laptop Audio not working
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop charger not working.
IT Support / Desktop Support / Software Issue,Need Java and Teradata Studio on my device.
IT Support / Desktop Support / Laptop / Display,Display flickering
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop charging issue.
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to client VPN - Axis client and network is very slow today
IT Support / Desktop Support / Software Issue,Unable to login
IT Support / Desktop Support / Software Issue,Requesting installation of Tableau Desktop on my system.
IT Support / Desktop Support / Software Issue,Issue in Bluetooth and Driver update
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Laptop / Speaker and Audio,Laptop Audio not working
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / Power-On Issue,Need Backup Laptop
IT Support / Desktop Support / Software Issue,I am not able to host online teams meeting from outlook
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / Software Issue,Return Temporary Asset Allocation Alert !!
IT Support / Desktop Support / Software Issue,Unable to start docker in system
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Unable to start docker
IT Support / Desktop Support / Laptop / System Performance,Laptop performance is getting worse day by day. I'm facing performance and screen issue from last 2 months . Screen go blank and it takes a long time to start. I request you to replace my pc and provide me a new one.
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Software Issue,Need ODBC Drivers installed
IT Support / Desktop Support / Software Issue,Laptop not recognized in network
IT Support / Desktop Support / Software Issue,Install Microsoft one note
IT Support / Desktop Support / Internet / VPN not connecting,VPN is not working
IT Support / Desktop Support / Software Issue,I am not able to login to VM.
IT Support / Desktop Support / Software Issue,Insufficient space issue
IT Support / Desktop Support / Software Issue,"Downloading remote desktop through self service portal, but didnt install on machine"
IT Support / Desktop Support / Laptop / Display,"Allocation-TransID#4815/FIXED/AssetID#3679 - Asset Allocation Mail Alert - Location: Gurgaon - India\Gurgaon, India - Store"
IT Support / Desktop Support / Software Issue,Need to reinstall the Remote desktop app.
IT Support / Desktop Support / O365 Issue / MS Teams Issue,MS team And Outlook account blocked
IT Support / Desktop Support / User Profile / Account Lockout,Vishak Pillai System locked
IT Support / Desktop Support / Laptop / Laptop Battery Drain,My Laptop's Battery(Charge) caught spark and smoke
IT Support / Desktop Support / User Profile / Account Lockout,Account Locked
IT Support / Desktop Support / Software Issue,Laptop configuration
IT Support / Desktop Support / Software Issue,Not able to connect to system/ Laptop due to incorrect Authentication (whereas Password is correct).
IT Support / Desktop Support / Software Issue,need to install python 3.9 version.
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to Office WiFi
IT Support / Desktop Support / Software Issue,Power BI installation for Training
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,I'm not able to login to the VDI through Remote Desktop.
IT Support / Desktop Support / Internet / VPN not connecting,Forticlient VPN is not connecting preventing me to change password in the machine
IT Support / Desktop Support / Internet / VPN not connecting,Unable to Connect TO VPN
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Software Issue,PG Admin not working
IT Support / Desktop Support / Software Issue,Parablu software asking for log in repeatedly
IT Support / Desktop Support / Software Issue,need to install python 3.9 version.
IT Support / Desktop Support / Software Issue,unable to find the meeting link once i setup the meeting
IT Support / Desktop Support / Software Issue,Incomplete installation
IT Support / Desktop Support / Software Issue,"needs to install RSA, Cisco any connect, TearData SQL assistant and zoom"
IT Support / Desktop Support / Software Issue,I need to install Azure Storage Explorer in my system.
IT Support / Desktop Support / Mouse / Mouse Issue,Request for New Mouse
IT Support / Desktop Support / Software Issue,"needs to install visual studio code, sublime, Mozilla and git bash"
IT Support / Desktop Support / Internet / VPN not connecting,FortiToken Mobile - Reactivation as my mobile got a hard reset.
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Internet / VPN not connecting,Fortitoken to be setup in new mobile phone
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / User Profile / Password Expired,Help me renew my password.
IT Support / Desktop Support / O365 Issue / Outlook Issue,Microsoft account not working.
IT Support / Desktop Support / Software Issue,"Error in Opening Microsoft Edge, IT Helpdesk"
IT Support / Desktop Support / Mouse / Mouse Issue,mouse not working
IT Support / Desktop Support / Internet / VPN not connecting,VPN - Not able to connect.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect to FortiClient VPN
IT Support / Desktop Support / Internet / VPN not connecting,Forti Token Xcode
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop shutting down abruptly
IT Support / Desktop Support / Internet / VPN not connecting,FortiClient connection
IT Support / Desktop Support / Software Issue,Edge browser is not working
IT Support / Desktop Support / O365 Issue / Outlook Issue,New Outlook not showing correct email content across accounts
IT Support / Desktop Support / Software Issue,Application is missing / sticky notes is not working
IT Support / Desktop Support / Internet / VPN not connecting,Unable to login to the VPN
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect to forticlient may be due to password expiry.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,Password Reset
IT Support / Desktop Support / Software Issue,Software Installation
IT Support / Desktop Support / Software Issue,Install client's VPN and token
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not able to connect with office wifi due to password expiry
IT Support / Desktop Support / Laptop / Display,Date and time is not correct.
IT Support / Desktop Support / Software Issue,**URGENT - Unable to open Microsoft edge browser
IT Support / Desktop Support / Software Issue,Unable to PG admin
IT Support / Desktop Support / Software Issue,Microsoft Edge not working
IT Support / Desktop Support / Software Issue,Request to install Azure storage Explorer and SSMS
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Reminder to Accept Asset
IT Support / Desktop Support / Laptop / Laptop Battery Drain,My laptop is working only when charger connected.
IT Support / Desktop Support / Software Issue,Unable to start MS edge.
IT Support / Desktop Support / Internet / VPN not connecting,Cant access VPN
IT Support / Desktop Support / Software Issue,Edge browser not working
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Laptop / System Performance,Laptop not working properly
IT Support / Desktop Support / Internet / VPN not connecting,not able to connect to vpn
IT Support / Desktop Support / Software Issue,Clock time incorrect in my PC
IT Support / Desktop Support / Internet / VPN not connecting,Forticlient VPN not working
IT Support / Desktop Support / Software Issue,Install Java
IT Support / Desktop Support / Internet / VPN not connecting,Unable to sign into microsoft
IT Support / Desktop Support / Software Issue,Device compliance issue
IT Support / Desktop Support / Internet / VPN not connecting,FortiClient Account locked
IT Support / Desktop Support / Internet / VPN not connecting,"I am not able to connect to VPN, kindly help."
IT Support / Desktop Support / Internet / VPN not connecting,can you help me connect to vpn
IT Support / Desktop Support / Software Issue,Microsoft edge not opening
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not able to connect with office
IT Support / Desktop Support / User Profile / Password Expired,My password got expired
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not able to connect office wifi
IT Support / Desktop Support / O365 Issue / Outlook Issue,Please help on unlocking Nava Gandla account
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Software Issue,Not able to open sticky Notes application
IT Support / Desktop Support / Software Issue,Need support in configuration of new laptop
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not abl to connect wifi in office
IT Support / Desktop Support / Software Issue,Problem in accessing the VDI part of NCUS Workspace
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop Hardware Issue
IT Support / Desktop Support / Laptop / System Performance,Laptop getting shut down and battery not detected
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / User Profile / Password Expired,Not able to reset password
IT Support / Desktop Support / Software Issue,Please help as Teams link is not refelecting in the invites
IT Support / Desktop Support / Software Issue,Browser Not Working
IT Support / Desktop Support / Software Issue,Reinstallation of VMWare Horizon software
IT Support / Desktop Support / User Profile / Password Expired,End point encryption password rejected
IT Support / Desktop Support / Software Issue,Please install POwer BI
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Power BI Installation
IT Support / Desktop Support / Software Issue,"Hi team, unable to open picture formats."
IT Support / Desktop Support / Software Issue,"I have installed python from self service portal, need help in setting up the environment variables"
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,"Unable to connect to Forti Client from my home.In Chicago office, not able to use Tredence network getting password expired message.But I have reset my password long back and it is not working"
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,VPN Error
IT Support / Desktop Support / Software Issue,Unable to open Client's Teams - it used to work daily but not working today
IT Support / Desktop Support / Software Issue,Installation of Azure Storage Explorer failure
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Getting Device Not In Compliance Error
IT Support / Desktop Support / Software Issue,- I need to install a softwares for accessing client's environment
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not able to connect office wifi
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not able to connect office wifi
IT Support / Desktop Support / Software Issue,Tabular Editor software installation
IT Support / Desktop Support / Software Issue,Forti token re configuration
IT Support / Desktop Support / Software Issue,Forti token re configuration
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop is not starting
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Team Call automatically going to voicemail and is reflecting unavailable
IT Support / Desktop Support / User Profile / Account Lockout,Account lockout
IT Support / Desktop Support / Software Issue,Applications: Chrome Not Working
IT Support / Desktop Support / Internet / VPN not connecting,Vpn not working
IT Support / Desktop Support / Internet / VPN not connecting,I have changed my phone so need forti token to be activated
IT Support / Desktop Support / Internet / VPN not connecting,Change password
IT Support / Desktop Support / Software Issue,Throwing error while opening post man
IT Support / Desktop Support / Software Issue,Cannot install python from Self service portal
IT Support / Desktop Support / Software Issue,Change Docker Desktop Setting
IT Support / Desktop Support / Software Issue,"I am getting a ""Fortinet not configured error"""
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Software Issue,Concur Issue
IT Support / Desktop Support / Internet / VPN not connecting,not able to connect to vpn
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Battery is draining quickly and charger port is not working properly
IT Support / Desktop Support / O365 Issue / MS Teams Issue,"I am trying to send interview invites on Teams but as soon as we click on the teams Icon to get the meeting link in the mail body, We are not getting that link.Can you help on the same?"
IT Support / Desktop Support / Software Issue,My EDGE is not working
IT Support / Desktop Support / Software Issue,MS Excel power query not working
IT Support / Desktop Support / Software Issue,Imp : High Priority | Unable to access Tredence sites and files | Device Not Compliant Error
IT Support / Desktop Support / Internet / VPN not connecting,not able to connect to VPN
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Software Issue,Need to Install Citrix workspace in pc.
IT Support / Desktop Support / Software Issue,Tableau Installation
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop battery is not working
IT Support / Desktop Support / Software Issue,Unable to access Microsoft edge
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to Tredence VPN and hence change the password
IT Support / Desktop Support / Software Issue,I am unable to connect to VPN.Please hel[p
IT Support / Desktop Support / Software Issue,Need support in software installation for client Modern Desktop Cloud Access
IT Support / Desktop Support / Software Issue,Install Client Apps
IT Support / Desktop Support / Internet / VPN not connecting,VPN Connectivity | Test Mode on screen
IT Support / Desktop Support / Internet / VPN not connecting,I'm not able to connect the VPN getting 7200 error
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / Power-On Issue,Jack's Laptop Not Starting - URGENT!
IT Support / Desktop Support / Software Issue,Docker Desktop Setting Change
IT Support / Desktop Support / Laptop / System Boot-up,Facing laptop issue
IT Support / Desktop Support / Software Issue,Request to install Citrix Workspace
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Software Issue,Unable to connect to MySQL Workbench.
IT Support / Desktop Support / Software Issue,needs to install RSA and Teradata SQL assistant
IT Support / Desktop Support / Software Issue,Emails not getting delivered to Monica Tasha Pereira
IT Support / Desktop Support / Internet / VPN not connecting,Need to install VPN in mobile
IT Support / Desktop Support / Laptop / System Performance,Laptop is very slow
IT Support / Desktop Support / Software Issue,Installing a Chrome extension
IT Support / Desktop Support / Software Issue,Reassign : SR6732
IT Support / Desktop Support / Laptop / System Boot-up,Urgent: Login Issues with Laptop
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Support with password change
IT Support / Desktop Support / Internet / VPN not connecting,Trouble with VPN
IT Support / Desktop Support / Laptop / Power-On Issue,Unable to switch on laptop
IT Support / Desktop Support / O365 Issue / Outlook Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / Internet / VPN not connecting,VPN not working- Not able to log in
IT Support / Desktop Support / Internet / VPN not connecting,VPN Issue
IT Support / Desktop Support / Software Issue,Need to install NVM to use Node different different version in my system to resolved vulnerability issues
IT Support / Desktop Support / Software Issue,upgrade node and npm version
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Internet / VPN not connecting,Password Expired
IT Support / Desktop Support / Software Issue,Need to install Postman and func-cli-x64
IT Support / Desktop Support / Laptop / Display,Laptop display is flickering
IT Support / Desktop Support / Software Issue,I need to setup the VPN connections.
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Internet / VPN not connecting,"Forticlient VPN is unstable. Need to restart every time to reconnect VPN. Sometimes, even though entered token is correct, I am unable to connect."
IT Support / Desktop Support / Internet / VPN not connecting,Need to connect VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Need support in doing Fortitoken and teams setup in my new phone
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to FortiClient VPN.
IT Support / Desktop Support / O365 Issue / Outlook Issue,Teams Meeting URL not showing when generating meeting invite.
IT Support / Desktop Support / Software Issue,I am unable to access the Time Management portal.
IT Support / Desktop Support / Laptop / System Boot-up,System is continuously giving pop up for standalone update installer
IT Support / Desktop Support / Internet / VPN not connecting,Fortinet VPN not connecting
IT Support / Desktop Support / O365 Issue / MS Teams Issue,MS Teams is not working properly
IT Support / Desktop Support / Software Issue,VM Horizon Not working
IT Support / Desktop Support / Laptop / Display,New Service Request raised for - IT Support\Desktop\Employee On/Off Boarding and Changes\Laptop Configuration -
IT Support / Desktop Support / Software Issue,Install Azure Storage Explorer in my system.
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop not switching on
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to Access Internet
IT Support / Desktop Support / Internet / VPN not connecting,Unable to login FortiClient VPN
IT Support / Desktop Support / O365 Issue / Outlook Issue,Unable to login to Microsoft Authenticator App
IT Support / Desktop Support / Software Issue,Zoom/Skype Phone Setup Request
IT Support / Desktop Support / Internet / VPN not connecting,Need Help in connecting Forti client
IT Support / Desktop Support / Laptop / Speaker and Audio,"Volume is very low, cant hear properly in speaker"
IT Support / Desktop Support / Laptop / System Boot-up,URGENT!!! - Windows OS corrupted
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,nvm install
IT Support / Desktop Support / Laptop / Speaker and Audio,Bluetooth Headset Mic Not Recognised
IT Support / Desktop Support / Software Issue,VDI Zoom issue
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Unable to login to user account
IT Support / Desktop Support / Internet / VPN not connecting,"VPN issue, please send one token to reset."
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,VS Code is Corrupted
IT Support / Desktop Support / Mouse / Mouse Issue,replacement of mouse
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Not able to access M/S teams
IT Support / Desktop Support / Software Issue,Configuration in replacement laptop
IT Support / Desktop Support / User Profile / Account Lockout,Account locked out
IT Support / Desktop Support / O365 Issue / Outlook Issue,Regarding Credentials issue
IT Support / Desktop Support / Software Issue,Please install Azure Data Studio in my system.
IT Support / Desktop Support / Internet / VPN not connecting,Forti Token setup
IT Support / Desktop Support / Software Issue,Timesheet Tool not Working
IT Support / Desktop Support / Software Issue,Update Docker
IT Support / Desktop Support / Software Issue,Need to install scikit-learn for Athena course
IT Support / Desktop Support / Software Issue,not able to open powerBI in citrix workspace
IT Support / Desktop Support / User Profile / Account Lockout,"One of my collegues has been locked out of Teams because apparently he tried to login the mobile using wrong passwords multiple time, due to which he is aunable to access anything"
IT Support / Desktop Support / Software Issue,Install Software
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop not switching on
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Urgent: Software Installation Required for Athena Python Training
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse is not working need to replace
IT Support / Desktop Support / Laptop / System Performance,System hanging/getting slowed
IT Support / Desktop Support / Software Issue,Software: Anaconda Installation
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / Software Issue,Need to update vs code to latest version
IT Support / Desktop Support / Software Issue,Request to install Power BI desktop on my laptop.
IT Support / Desktop Support / Software Issue,Citrix Workspace - Unable to install from SelfServicePortal
IT Support / Desktop Support / Software Issue,Unable to install phonenix library.
IT Support / Desktop Support / Laptop / System Performance,Performance issues with laptop
IT Support / Desktop Support / Internet / VPN not connecting,VPN Login Issue
IT Support / Desktop Support / Software Issue,Kindly install putty
IT Support / Desktop Support / Software Issue,Install Entrust identity app on dekstop
IT Support / Desktop Support / Internet / VPN not connecting,Unable to get Forti token-hence unable to use VPN
IT Support / Desktop Support / User Profile / Password Expired,"i'm not able to change my password, its showing access has been denied . forticlient VPN is also not working"
IT Support / Desktop Support / Software Issue,Anoconda installer for athena python training
IT Support / Desktop Support / Internet / VPN not connecting,Request to configure FortiClient on the new android device
IT Support / Desktop Support / Software Issue,Re installation of VMWare Horizon.
IT Support / Desktop Support / Software Issue,I wanted to install fivetran HVR software.
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Software Issue,"I needed DBT tool to get it installed in my desktop, help on that kindly asap"
IT Support / Desktop Support / Software Issue,"Python not working properly, please add execute path"
IT Support / Desktop Support / Software Issue,"I needed HVR tool to get it installed(14 days free trial) in my desktop for project ,kindly help on this asap"
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / O365 Issue / Outlook Issue,Unable to connect outlook and teams on office laptop
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,"Hi Team, I am not able to receive any OTP on mail for connecting to FortiClient VPN"
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Reinstall VMware
IT Support / Desktop Support / Internet / VPN not connecting,Hi team I am getting an error while connecting to the FortiClient VPN. Please help resolve this on high priority. It says credential or SSLVPN is wrong.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / O365 Issue / Outlook Issue,Cannot access 2022 Emails
IT Support / Desktop Support / Software Issue,"I am facing a couple of issues including sticky note not working, vpn SSL error and while using dbtcloud the files contents from github are now showing."
IT Support / Desktop Support / Software Issue,Not receiving emails
IT Support / Desktop Support / Internet / VPN not connecting,VPN not reachable
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Unable to access teams from phone
IT Support / Desktop Support / Software Issue,"need to install vs code and SSMS and Forti token, .FortiClient VPN"
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Installation of Python 3.11 and Git
IT Support / Desktop Support / Software Issue,Need Power BI desktop to be installed immediately
IT Support / Desktop Support / Internet / VPN not connecting,VPN connectivity Issues
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Need help to set up Forticlient mobile app and connectivity to VPN app
IT Support / Desktop Support / Software Issue,Need to install Notepad++
IT Support / Desktop Support / Software Issue,Success factor is not working.
IT Support / Desktop Support / Laptop / Laptop Battery Drain,"Hi Team, Laptop Battery charging orange light is continuously on even after switching off the laptop and laptop battery is draining badly."
IT Support / Desktop Support / Software Issue,I need to install MySQL Workbench 8.0 CE for Athena Python Cohort 1 - Mandatory Training
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Unable to Turn on the Laptop
IT Support / Desktop Support / Laptop / Speaker and Audio,My speaker not getting connected
IT Support / Desktop Support / Software Issue,Need to install Azure Storage Explorer.
IT Support / Desktop Support / Laptop / System Performance,Laptop is getting slow most of the time!
IT Support / Desktop Support / Software Issue,Need to isntall Apache spark in the system
IT Support / Desktop Support / Laptop / System Performance,Not able to change password
